Sr. No.,Track Name,Album Name,Artist Name,ISRC,UPC,Language,Label,Ad-Supported Streams,Subscription Streams,Jio-Trial Streams,Total Streams
1,Aarti Kunj Bihari Ki,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024447,709586781524,hindi,Ariha Audio,190,0,0,190
2,Hey Dukh Bhanjan Maruti Nandan,Sublime Bhajans Vol - 9,Gourab Shome,USDCH1036766,612292253448,hindi,Ariha Audio,322,0,0,322
3,Aayo Kaha Se Ghanshyam,Sublime Bhajans,Trisha Parui,USDCH1021715,711099368024,hindi,Ariha Audio,165,0,0,165
4,Shiv Amritwani,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033654,612292246655,hindi,Ariha Audio,13,0,0,13
5,Hare Rama Hare Krishna,Sublime Bhajans,Madhura Banerjee,USDCH1021719,711099368024,hindi,Ariha Audio,167,0,0,167
6,Dhokebaaz,Yeda Kaun?,Yeda Anna,USDCH1043524,630808426858,hindi,"Most Wanted Records, a division of Sippy Media LLP",1,0,0,1
7,Yamuna Ka Tat suna,Sublime Bhajans Vol - 10,Swati Prasad,USDCH1036776,612292253615,hindi,Ariha Audio,4,0,0,4
8,Gopal Sahasranaam,Sublime Bhajans Vol - 8,Trisha Parui,USDCH1033644,612292246655,hindi,Ariha Audio,77,0,0,77
9,Parameshwari,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032088,612292244033,hindi,Ariha Audio,2,0,0,2
10,Asatoma Sadgamaya,Sublime Bhajans Vol - 3,Trisha Parui,USDCH1025832,710825994407,hindi,Ariha Audio,61,0,0,61
11,Durga Chalisa,Sublime Bhajans Vol - 9,Trisha Parui,USDCH1036762,612292253448,hindi,Ariha Audio,140,0,0,140
12,Raaz,Raaz,Bohemia,USDCH1043320,630808425981,punjabi,Desi Hip Hop Publishing Company,3417,0,0,3417
13,Jaa Tose Nahi Bolu Kanhaiya,Sublime Bhajans,Arijit Chakraborty,USDCH1021720,711099368024,hindi,Ariha Audio,84,0,0,84
14,Pehli Nazar,Pehli Nazar,"Saifar1, Devika",USDCH1500002,711099362619,hindi,Faith Records & sifar1,8,0,0,8
15,Shri Ganesh Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033657,612292246655,hindi,Ariha Audio,88,0,0,88
16,Thinking About You,Thinking About You,"Sofia, Bohemia",USDCH1031994,612292243746,english,Kali Denali Music,1090,0,0,1090
17,Kashi Ke Vashi,Sublime Bhajans Vol - 10,Avijit Das,USDCH1036774,612292253615,hindi,Ariha Audio,1,0,0,1
18,Shambho Mahadeva,Sublime Bhajans vol 5,Mohit Jaitly,USDCH1032090,612292244033,hindi,Ariha Audio,3,0,0,3
19,Maya Tera Kanha,Sublime Bhajans Vol - 10,"Swati Prasad, Rupali Zain",USDCH1036775,612292253615,hindi,Ariha Audio,6,0,0,6
20,Shri Krishna Sahasranaam,Sublime Bhajans Vol - 8,Minakshi mazumdar,USDCH1033658,612292246655,hindi,Ariha Audio,28,0,0,28
21,Hare Krishna Hare Rama,Sublime Bhajans Vol 7,Arijit Chakraborty,USDCH1032136,612292244118,hindi,Ariha Audio,183,0,0,183
22,Devi Kavacham Mantra,Sublime Bhajans Vol. 4,Minakshi mazumdar,USDCH1032099,612292244040,hindi,Ariha Audio,5,0,0,5
23,Radhe Govinda Krishna,Sublime Bhajans Vol - 2,Trisha Parui,USDCH1024449,709586781524,hindi,Ariha Audio,1125,0,0,1125
