Country,Product,URI,UPC,EAN,ISRC,Track name,Artist name,Composer name,Album name,Quantity,Label,Payable invoice,Invoice currency,Payable EUR,Payable USD
DK,P,spotify:track:7E95baYBXAlj83y4Tr8tBC,711099370195,,INS641200109,Aura,Sri Sri Ravi Shankar,N/A,Aura,1,The Art of living,0.006784,EUR,0.007,0.008
IN,FAM6,spotify:track:2ARKgOysIm7MilR4ygzRgc,644824510002,,USDCH1037144,Radhe Govinda,Mehul Pandit,N/A,Infinity Within,1,The Art Of Living,0.000557,USD,0.000,0.001
GB,DUO,spotify:track:6lwXvIpkmc1qtPjWB7gHfu,711099370171,,INS641201233,Gokul Me,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,21,The Art Of Living,0.103932,GBP,0.122,0.143
US,PDS,spotify:track:5rzayvd6gBbvyGdC7qFqzI,711099369571,,INS641200450,Hari Sundara Nanda,Dr. Manikantam,N/A,Best Of Dr. Manikantam,5,The Art Of Living,0.010834,USD,0.009,0.011
NZ,P,spotify:track:5bCPr4XoKnZm3CC2tgm0Oy,644824510187,,USDCH1037254,Pisces,Horsepowar,N/A,Pisces,1,Horsepowar Records Inc,0.00476,EUR,0.005,0.006
IN,A,spotify:track:6nQIwhVa4I6IsglePvGaE4,644824518206,,INS641202148,Jai Guru Omkara,"Murad Ali Khan, Fateh Ali",N/A,Ananta,2,The Art Of Living,0.000137,USD,0.000,0.000
US,TRIAL-3M,spotify:track:5jDptBzXcm1CNEjWvkgve2,711099370171,,INS641201231,Damroo Bhaje,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,1,The Art Of Living,0.001923,USD,0.002,0.002
NL,P,spotify:track:50RxAXvBs18zquwdwf2ZOV,644824510019,,USDCH1037153,Om Namah Shivaya - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,31,The Art Of Living,0.164149,EUR,0.164,0.193
AU,A,spotify:track:4okyofYDEy9JSDD8WpCPoF,711099370058,,INS641200067,om namah shivaya,Gayatri Ashokan,N/A,Anahata,13,The Art of living,0.020958,EUR,0.021,0.025
IN,P,spotify:track:5cvwWXSNPdOOxWlsilA4ZG,612292246655,,USDCH1033651,Maha Mritunjaya Mantra,Trisha Parui,N/A,Sublime Bhajans Vol - 8,1,Ariha Audio,0.001117,USD,0.001,0.001
CH,FAM6,spotify:track:0dgLLTtvBl6lsrOy1QGqbH,711099368758,,INS641200539,Narayan Narayan,Vikram Hazra,N/A,Achutam,2,The Art of living,0.006763,EUR,0.007,0.008
PA,P,spotify:track:3joWAP1AaHTzUUkk96TE2H,711099369632,,INS641200719,Om Namo Narayana,Sahil Jagtiani,N/A,Best Of Sahil Jagtiani,1,The Art Of Living,0.003679,USD,0.003,0.004
ES,FAM6,spotify:track:19ZFh6XKmACdmufaHDhhrU,644824510248,,USDCH1037304,Medha Suktam,Swami Purnachaitanya,N/A,Suktanjali,2,The Art of living,0.004367,EUR,0.004,0.005
PH,FAM6,spotify:track:30UNQILbZApyiGklUKwozt,644824510248,,USDCH1037301,Aghamarshana Suktam,Swami Purnachaitanya,N/A,Suktanjali,1,The Art of living,0.000524,EUR,0.001,0.001
ZA,FAM6,spotify:track:07u9Dk9lSxOAt3v1mc903r,711099370171,,INS641201190,Shivaraja Maheshwara,Rishi Nityapragya,N/A,Best Of Rishi Nitya Pragya,22,The Art Of Living,0.023704,EUR,0.024,0.028
IN,P,spotify:track:0M8czKUnpZXsf43BEtpi6q,644824510019,,USDCH1037146,Dhanvantari Mantra - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,43,The Art Of Living,0.04805,USD,0.041,0.048
LB,P,spotify:track:4Tg2j89RWqSeaNRouicOJr,644824510019,,USDCH1037150,Om Gan Ganapataye Namah - 108 Times,Swami Purnachaitanya,N/A,Mantra Kavacham,1,The Art Of Living,0.003923,USD,0.003,0.004
TH,P,spotify:track:29zvQKgYS3bfPMmTNTbVeu,711099368321,,INS641200380,Narayana,Sachin Limaye,N/A,Best Of Sachin Limaye,1,The Art Of Living,0.002147,EUR,0.002,0.003
US,PDS,spotify:track:6Vm8aIqUG8Klk2IWJ1E1RK,644824510248,,USDCH1037293,Bhagya Suktam,Swami Purnachaitanya,N/A,Suktanjali,6,The Art of living,0.013001,USD,0.011,0.013
