Reporting Period: ,2021-03-01 to 2021-03-31,,,,,,,,
Date,Purchase Type,Refund/Chargeback,Country,Channel Name,Channel ID,Retail Price (USD),Total Tax (USD),Partner Earnings Fraction,Earnings (USD)
2021-03-26,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,1.38,0.21,0.70,0.82
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-03,SCT,False,GB,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,6.97,1.20,0.70,2.84
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-11,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,1.38,0.21,0.70,0.82
2021-03-03,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-23,SST,False,IN,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,1.39,0.21,0.70,0.82
2021-03-10,SCT,False,IN,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,0.28,0.04,0.70,0.17
2021-03-13,SST,False,US,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,1.49,0.00,0.70,1.05
2021-03-24,SVD,False,IN,Chitrakutdham Talgajarda,UCnePvOdQ-uBSWSIgRoG55gA,0.56,0.08,0.70,0.33
2021-03-13,SCT,False,US,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,1.00,0.00,0.70,0.70
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,1.00,0.00,0.70,0.70
2021-03-10,SST,False,US,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,1.99,0.00,0.70,0.98
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,10.00,0.00,0.70,7.00
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,2.00,0.00,0.70,1.40
2021-03-29,SPT,False,AE,Surat Gurukul,UC6Mq8k0iG3L-ouRqhgMkWKw,1.37,0.07,0.70,0.91
2021-03-09,SCT,False,CA,Spiritual Mantra,UCaF3MVnBYNnjAKF16k3mUjw,29.21,0.00,0.70,20.45
2021-03-08,SCT,False,IN,UTKARSH CLASSES JODHPUR,UCLuBF4Xr1-BIpcpFFm7zp7w,0.28,0.04,0.70,0.17
2021-03-12,SCT,False,IN,Lord Shiva Songs,UCZJSg5r9IBgknv0VQAVoETg,0.55,0.08,0.70,0.33
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,4.99,0.00,0.70,2.45
2021-03-04,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
2021-03-03,SCT,False,US,Yanadameen Godcast,UCM0e4EaqYOuoxsgdd0yLDeQ,5.00,0.00,0.70,3.50
