Video Claim Raw Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjustment Type,Country,Day,Video ID,Video Channel ID,Asset ID,Asset Channel ID,Asset Title,Asset Labels,Asset Type,Custom ID,ISRC,UPC,GRID,Artist,Album,Label,Claim Type,Content Type,Offer,Owned Views,Monetized Views : Audio,Monetized Views : Audio Visual,Monetized Views,YouTube Revenue Split,Partner Revenue : Pro Rata,Partner Revenue : Per Sub Min,Partner Revenue
None,AE,20210201,#NAME?,y9Td1yEiJxbK2AljjAvZFw,A363227030162678,,Rabbaa Main Kya Karoon,VCOI,Sound Recording,INV772001003,INV772001003,6.30808E+11,,"Dev Chugh, Arjun Sharma",Rabbaa Main Kya Karoon,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000494,0.000272,0.000585,0.000585
None,AE,20210201,#NAME?,y9Td1yEiJxbK2AljjAvZFw,A450579524351227,,52 Gajh Ka Daman,VCOI,Sound Recording,INV772001001,INV772001001,6.30808E+11,,"Renuka Panwar, MJ",52 Gajh Ka Daman,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000494,0.000272,0.000585,0.000585
None,AE,20210201,#NAME?,y9Td1yEiJxbK2AljjAvZFw,A672902708669822,,Pyar Naal Rakhein,VCOI,Sound Recording,INV772001005,INV772001005,6.30808E+11,,"Aalam Singh, Arjun Sharma",Pyar Naal Rakhein,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000494,0.000272,0.000585,0.000585
None,AE,20210201,#NAME?,y9Td1yEiJxbK2AljjAvZFw,A990519850667017,,Yaara Ve Yaara,VCOI,Sound Recording,INV772001004,INV772001004,6.30808E+11,,"Vineet Gaba, Arjun Sharma",Yaara Ve Yaara,Desi Records,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000494,0.000272,0.000585,0.000585
None,AE,20210201,00C6R3BqqXo,E7SuIH6njwevqPA92s_Akg,A262763038079260,E7SuIH6njwevqPA92s_Akg,बेवफाई की ऐसी दर्द भरी गीत आपलोग नहीं सुने होंगे - ऐ सनम | बेवफाई गीत | Dipak Tiwari | Ye Sanam |,,Music Video,00C6R3BqqXo,,,,,,,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,05d4VkLCRKQ,WvVTaiar5rUjcFiylCMTog,A502531858204554,,Tera Nasha,"BIL,CC_EXCLUSION_DISTRIBUTOR_ONLY",Sound Recording,USDCH1041752,USDCH1041752,6.30808E+11,,The Bilz & Kashif,Breaking Barriers,Bilz Music,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.000964,0.000531,0.001152,0.001152
None,AE,20210201,07ysxKKMThQ,aEIlQ7Q2OOYoivz9r_yRmw,A493878794424454,aEIlQ7Q2OOYoivz9r_yRmw,Su Kare Che,,Art Track,USDCH1041772,USDCH1041772,6.30808E+11,,Various Artists,,Bilz Music,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,08GHqf-61ho,0QK8anWiRmUatDs3jIJDUw,A338819484214106,,Dissolve,AOL,Sound Recording,INS641200350,INS641200350,7.11099E+11,,NOT APPLICABLE,Eternity,The Art Of Living,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,0vnt1rC0dkQ,HWfAuT1j7bTLXTIBcY_l6w,A626353037027333,,Ultrabeam Instinct,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001011,INV772001011,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,1,0,1,1,0.000658,0.000362,0.000779,0.000779
None,AE,20210201,0wgm1GPQfs4,6DGa753EiWkioku0IZhgTQ,A205427949119827,,Mere Dil Ko Karar Aa Jaye,NHS,Sound Recording,USDCH1032258,USDCH1032258,6.12292E+11,,"Udit Narayan,Sadhna Sargam",Jiger,NH Studioz,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.000613,0.000338,0.000733,0.000733
None,AE,20210201,12_Tnewvit0,aMbHL_q0huzBW__7ud6mQw,A147173552941788,aMbHL_q0huzBW__7ud6mQw,जो शहीद हुऐ है उनकी याद करो क़ुरबानी | Pullwama Vande Maatram Song #14Feb. 2020 | New Songs 2020 #NDJ,NDJ,Music Video,h1X4IWrnzEA,,,,,,,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
None,AE,20210201,149ON5FSFj0,qj-7XzxhgL14RKORG1UIrw,A626353037027333,,Ultrabeam Instinct,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001011,INV772001011,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Family monthly,1,0,1,1,0.006742,0.003709,0.008046,0.008046
None,AE,20210201,1A_8Y49Yn3E,Noj8ldt49GZDquUefCmzgg,A868952641679278,,Arabic Song,"CC_EXCLUSION_DISTRIBUTOR_ONLY,RIC",Sound Recording,USDCH1033393,USDCH1033393,6.12292E+11,,Various Artists,Sargham,T.R.C. Studios,Audio,UGC,YouTube Premium Individual monthly,1,0,0,0,0,0,0,0
None,AE,20210201,1PBGoNKWKLI,ft9B5kFTs4LvYs8n4TPTRQ,A261684340929785,,Curiousity Freedom Superstar,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001007,INV772001007,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,4,0,4,4,0.034524,0.01899,0.040849,0.040849
None,AE,20210201,1PBGoNKWKLI,ft9B5kFTs4LvYs8n4TPTRQ,A261684340929785,,Curiousity Freedom Superstar,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001007,INV772001007,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Music Individual monthly,1,0,1,1,0.012388,0.006814,0.007166,0.007166
None,AE,20210201,1PHswTVcVj4,1S3EiYLDrrVc3Ev9rdUE6A,A261684340929785,,Curiousity Freedom Superstar,"CC_EXCLUSION_DISTRIBUTOR_ONLY,VCOI",Sound Recording,INV772001007,INV772001007,6.16968E+11,,Loplay,,Loplay Music Life,Audio,UGC,YouTube Premium Individual monthly,1,1,0,1,0.004932,0.002713,0.005836,0.005836
None,AE,20210201,1RvkKHv7Xz0,y9Td1yEiJxbK2AljjAvZFw,A502870529648166,,Kasoor Ki Hai Mera,VCOI,Sound Recording,INV772001002,INV772001002,6.30808E+11,,"Vineet Gaba, Arjun Sharma",Kasoor Ki Hai Mera,Desi Records,Audio,UGC,YouTube Premium Individual monthly,2,1,1,2,0.00188,0.001036,0.002228,0.002228
None,AE,20210201,1RvkKHv7Xz0,y9Td1yEiJxbK2AljjAvZFw,A990519850667017,,Yaara Ve Yaara,VCOI,Sound Recording,INV772001004,INV772001004,6.30808E+11,,"Vineet Gaba, Arjun Sharma",Yaara Ve Yaara,Desi Records,Audio,UGC,YouTube Premium Individual monthly,2,1,1,2,0.00188,0.001036,0.002228,0.002228
None,AE,20210201,1W58fun58GU,k3plMzqJ-nTseJJsRcyiqA,A391918046409790,k3plMzqJ-nTseJJsRcyiqA,ये वाक़्या सुन आपकी भी आँखे नम हो जाएँगी | Mezar Naama | Rais Miyan Song | Rais Miyan Qwwali 2019,TNDMS,Music Video,1W58fun58GU,,,,Rais Miyan,,Sonic Enterprise,Audio-Visual,Partner-provided,YouTube Premium Individual monthly,1,0,1,1,0.009864,0.005426,0.011672,0.011672
