Content Type,Asset ID,Partner Revenue
UGC,A532996648735184,786.58536
UGC,A249511257901636,433.932634
UGC,A785278848423015,385.192736
UGC,A173515570332777,344.01088
UGC,A114683462619516,233.208001
UGC,A892459096551515,216.937771
UGC,A149511972367140,213.522771
UGC,A603678461584427,206.374512
UGC,A603757461490219,128.346314
UGC,A152284015653727,111.504183
UGC,A447990300537702,91.462033
UGC,A239960377859314,66.382397
UGC,A938566169297957,57.571663
UGC,A577364094751566,54.855017
UGC,A868106634630408,51.857695
UGC,A956806239728587,44.275243
UGC,A668311362595109,43.922449
UGC,A444427376783091,40.569404
UGC,A700608213317417,40.142412
UGC,A313474744418136,37.563888
UGC,A228458949998870,37.019787
UGC,A458139968559702,36.774837
UGC,A575898344676073,36.324384
UGC,A458185703522741,36.321279
UGC,A780967580896165,35.494781
UGC,A765460295564789,33.442627
UGC,A926619219937443,33.240609
UGC,A591890027238458,31.384664
UGC,A808661514444263,30.825542
UGC,A130435603995524,30.354197
UGC,A587898116603419,28.629449
UGC,A168063137497239,27.254583
UGC,A730355558680810,26.916825
UGC,A610845421053054,25.349111
UGC,A877835097548214,22.79997
UGC,A671973376353451,22.400236
UGC,A576331857321235,22.063816
UGC,A605883510555513,21.002508
UGC,A798349173932506,19.55581
UGC,A983369284635055,19.030926
UGC,A474805460218477,18.748336
UGC,A120795187810703,18.671548
UGC,A552593121357358,17.142404
UGC,A354844825685519,17.123508
UGC,A875169429016430,16.71637
UGC,A208789982152552,16.680723
UGC,A166737150950209,16.665306
UGC,A911200502956761,16.021779
UGC,A823089872901639,14.932894
UGC,A210484705189064,14.336173
UGC,A128205435525680,14.021046
UGC,A861232004005675,14.020671
UGC,A631352662413729,14.008699
UGC,A668877109610035,13.565894
UGC,A413232707636019,13.542847
UGC,A309082144261223,13.407807
UGC,A553491422951018,13.127449
UGC,A271832655227659,12.949926
UGC,A854112799324682,12.8261
UGC,A996816951764055,12.283784
UGC,A441975395716793,11.947238
UGC,A243460469766717,11.867543
UGC,A364730374038070,11.254831
UGC,A562098079476365,11.091923
UGC,A539687880477620,10.892748
UGC,A848505977816233,10.828306
UGC,A890196907951975,10.441931
UGC,A408970394864619,10.352982
UGC,A227053082034961,10.292171
UGC,A446541841719692,10.170177
UGC,A712274816562175,10.025343
UGC,A230716422225540,9.931846
UGC,A675011311819729,9.541168
UGC,A919887136173701,9.515101
UGC,A205427949119827,9.509818
UGC,A648895691626600,9.482337
UGC,A222612580076732,8.875731
UGC,A869847134792522,8.860953
UGC,A806446992893685,8.818654
UGC,A168383322431520,8.634045
UGC,A343313932609616,8.50876
UGC,A395604488511983,8.135908
UGC,A609974120483906,8.135557
UGC,A707396874743029,7.990774
UGC,A946220004544965,7.924116
UGC,A669352282413760,7.871552
UGC,A923175039998527,7.767238
UGC,A652365417605344,7.7056
UGC,A528389951014723,7.660144
UGC,A310185948170511,7.470469
UGC,A407541946300192,7.086683
UGC,A781863745434949,7.068839
UGC,A824620543820803,6.973105
UGC,A963394509903046,6.734306
UGC,A329556545058320,6.704165
UGC,A462706318836487,6.682619
UGC,A223766829845469,6.449812
UGC,A570136382209442,6.412425
UGC,A708794523914433,6.203742
UGC,A168751718819025,6.127131
UGC,A764547910798128,6.125602
UGC,A140929657275106,6.049005
UGC,A355103308380192,6.015403
UGC,A663769669734378,5.9965
UGC,A834215526421446,5.945575
UGC,A893666806603053,5.856675
UGC,A145682824471158,5.670785
UGC,A602399171925682,5.658587
UGC,A221252868541378,5.651234
UGC,A423668678095041,5.637106
UGC,A908810935390148,5.324
UGC,A234248387305206,5.149126
UGC,A801107884021246,5.09149
UGC,A927722529451603,5.078427
UGC,A455456891120073,4.995582
UGC,A816367045183709,4.893797
UGC,A698965137905266,4.730807
UGC,A428442297426264,4.667364
UGC,A834009943870632,4.647408
UGC,A251776770831170,4.352232
UGC,A800308738769903,4.339159
UGC,A831136106602742,4.270033
UGC,A339738208995390,4.209313
UGC,A831662657303920,4.203936
UGC,A267309243112619,4.197554
UGC,A819111673958260,4.167056
UGC,A542781700483439,4.154762
UGC,A373840218243972,4.107021
UGC,A136881564131023,4.098489
UGC,A343339680544367,4.084673
UGC,A233074041324338,4.071814
UGC,A887563799437862,3.943589
UGC,A294384612219438,3.88077
UGC,A918274227903052,3.810702
UGC,A159326615500812,3.785376
UGC,A669966621125197,3.750613
UGC,A961673502200954,3.740114
UGC,A753595699112404,3.697001
UGC,A916627900782038,3.672036
UGC,A982997769445254,3.627444
UGC,A157155842598975,3.617483
UGC,A637129393126416,3.577502
UGC,A290932486093132,3.549311
UGC,A242887933277913,3.520653
UGC,A570534227672173,3.519746
UGC,A329744006433857,3.468289
UGC,A559675618536635,3.438603
UGC,A571761698302637,3.412563
UGC,A104569934037323,3.389036
UGC,A640247578775480,3.360775
UGC,A950404340649889,3.29417
UGC,A453352734575237,3.285771
UGC,A748424573845678,3.256637
UGC,A604248537371774,3.183101
UGC,A488211138271753,3.168505
UGC,A109874324858496,3.105194
UGC,A365447877096300,3.100941
UGC,A521616280040678,3.02032
UGC,A745782130645731,2.998205
UGC,A959714998929173,2.968659
UGC,A923172939495551,2.955517
UGC,A218440702451751,2.865083
UGC,A651501861542467,2.85841
UGC,A822995990485664,2.846945
UGC,A647917503022992,2.846117
UGC,A921978808400724,2.79935
UGC,A567028522708128,2.77632
UGC,A125537072567411,2.775629
UGC,A525291053348161,2.775025
UGC,A838984942695355,2.771613
UGC,A729282803448471,2.759472
UGC,A101826463775986,2.752922
UGC,A991557578055611,2.744332
UGC,A670429763119615,2.720391
UGC,A831688688173530,2.626758
UGC,A626824861501068,2.626337
UGC,A229915131304187,2.625697
UGC,A940566180599180,2.608403
UGC,A810182345211287,2.606671
UGC,A840602225406937,2.601136
UGC,A609489829384137,2.530672
UGC,A607537030897335,2.51402
UGC,A439363755356539,2.505508
UGC,A319873515477680,2.504708
UGC,A912947965025922,2.491319
UGC,A912353354055556,2.478272
UGC,A835560453870013,2.449534
UGC,A275986625079318,2.433203
