Adjustment Type,Day,Country,Video ID,Channel ID,Asset ID,Asset Channel ID,Asset Type,Custom ID,ISRC,UPC,GRid,Content Type,Policy,Claim Type,Claim Origin,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,20210301,IN,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,85,0,0,0,0,0,0,0,0,0,0
None,20210302,IN,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,45,0,0,0,0,0,0,0,0,0,0
None,20210302,US,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,1,0,0,0,0,0,0,0,0,0,0
None,20210303,IN,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,34,0,0,0,0,0,0,0,0,0,0
None,20210304,IN,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,40,0,0,0,0,0,0,0,0,0,0
None,20210304,SG,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,1,0,0,0,0,0,0,0,0,0,0
None,20210305,BH,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,1,0,0,0,0,0,0,0,0,0,0
None,20210305,IN,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,131,0,0,0,0,0,0,0,0,0,0
None,20210305,QA,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,1,0,0,0,0,0,0,0,0,0,0
None,20210306,IN,#NAME?,UCUhl61gE4qGtsOWZxajP-ww,A424351606870107,,Sound Recording,USDCH1024430,USDCH1024430,7.10E+11,,UGC,monetize,Audio,Audio Match,72,0,0,0,0,0,0,0,0,0,0
