claim_id,claim_status,claim_status_detail,claim_origin,claim_type,asset_id,video_id,uploader,channel_id,channel_display_name,video_title,views,matching_duration,longest_match,content_type,reference_video_id,reference_id,claim_policy_id,asset_policy_id,claim_policy_monetize,claim_policy_track,claim_policy_block,asset_policy_monetize,asset_policy_track,asset_policy_block,claim_created_date,video_upload_date,custom_id,video_duration_sec,asset_title,asset_labels,tms,director,studio,season,episode_number,episode_title,release_date,hfa_song_code,isrc,grid,artist,album,record_label,upc,iswc,writers
ByM1yeoUgFM,ACTIVE,,AUDIO_MATCH,AUDIO,A772607194146587,i_FbWWGFIVk,,UC_ILi4bhjcqVEmR8Yjc9Usw,anil diwana raetar,Tora akhia ke kajal,56,251,78,UGC,,oljHcZtVGvY,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,07/12/2018,05/03/2018,INV581701860,263,Nasho Na Bhaail,TFB,,,,,,,,,INV581701860,,"Pritam Pyare, Laveli Singh",Kanwar Bole Bam Bam,Team Film,1.91766E+11,,
g9uBiLT2STc,ACTIVE,,SHORTS_IN_PRODUCT,AUDIO,A450579524351227,q-wqS1SEJVg,,UC_FvsMpYHWS1zn6LXGx1V5g,Shakir Bijl,hyfdjj,0,31,16,UGC,,imZElag4n7A,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG UM US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG UM US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,20/04/2021,20/04/2021,INV772001001,16,52 Gajh Ka Daman,VCOI,,,,,,,20201002,,INV772001001,,"Renuka Panwar, MJ",52 Gajh Ka Daman,Desi Records,6.30808E+11,,
3Xjeip0rcfc,ACTIVE,,AUDIO_MATCH,AUDIO,A527495612663080,7sYt8eht3A8,,UC04OvSF-mK-Pl4Fq_xMHX9w,Pintu Kumar,24-Mar-21,0,204,204,UGC,,aFZ_jeufdQ0,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,24/03/2021,24/03/2021,INT502102635,204,Horn Puk Puk,TNDM4,,,,,,,20210316,,INT502102635,,"Gaurav Thakur, Mamta Mahi",Horn Puk Puk,Monavik Music,8.90541E+12,,
KZjP8aHH850,ACTIVE,,AUDIO_MATCH,AUDIO,A668877109610035,D54tmDHDVbk,,UCwFjEWLtt6m3vQB5FKYxndQ,A.J. INTERTENMENT,Rk extra,25,21,21,UGC,,RikqQwNGhcY,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,19/11/2019,19/11/2019,USDCH1032209,21,Been Bajata Ja Sapare Full Song,NHS,,,,,,,,,USDCH1032209,,Anuradha Paudwal,Doodh ka Karz,NH Studioz,6.12292E+11,,
7ntz4rekVrw,ACTIVE,,SFTP_UPLOAD,AUDIOVISUAL,A925784853391963,lM8Yhq1qQgw,,UCHHnadSH4tA1CooAKd4cBVg,Radheshyam Rasiya - Topic,Bharab Koshi Abki,0,0,0,PARTNER_UPLOADED,,,,,INCLUDE AE AR AS AT AU AW BA BE BG BH BM BO BR BY CA CH CL CO CR CY CZ DE DK DO DZ EC EE EG ES FI FR GB GF GP GR GT GU HK HN HR HU ID IE IL IN IS IT JO JP KE KR KW KY LB LI LT LU LV MA MK MP MQ MT MX MY NG NI NL NO NZ OM PA PE PF PH PL PR PT PY QA RO RS RU SA SE SG SK SV TC TH TR TW UA US UY VE VI VN YT ZA,INCLUDE NC PG SI,EXCLUDE AE AR AS AT AU AW BA BE BG BH BM BO BR BY CA CH CL CO CR CY CZ DE DK DO DZ EC EE EG ES FI FR GB GF GP GR GT GU HK HN HR HU ID IE IL IN IS IT JO JP KE KR KW KY LB LI LT LU LV MA MK MP MQ MT MX MY NC NG NI NL NO NZ OM PA PE PF PG PH PL PR PT PY QA RO RS RU SA SE SG SI SK SV TC TH TR TW UA US UY VE VI VN YT ZA,,,,19/12/2020,19/12/2020,INT502009735,352,Bharab Koshi Abki,TNDM5,,,,,,,20201024,,INT502009735,,Radheshyam Rasiya,,Dhamaka Music,3.61655E+12,,
jxarytwcA1U,ACTIVE,,AUDIO_MATCH,AUDIO,A438842234489112,BkfSUG68ewE,,UCBLZ4Ubb8vbSFXe7aLfXPhg,Ranjeet Babu official,Kala kala kajal   dj Ranjeet Gautam,27,265,227,SONG_UGC,,aCYn6gCQ8GA,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,10/02/2021,10/02/2021,USDCH1043462,233,Kala Kala Kajal,DCMPL,,,,,,,20200922,,USDCH1043462|FR26V2040846,,Awanish Babu,Kala Kala Kajal,New Khortha Video Series,6.30808E+11,,
27ghvLDmCOA,ACTIVE,,AUDIO_MATCH,AUDIO,A833806610199508,yA7wQY2GnFA,,UCkP81pfvptezOryeuKNjotA,Akshay Sharma,Chori love u love u bole Dekh ke chora yo bhaman ka edit by Ak Pundit,121,131,126,UGC,,DQFC0lykiq0,,S230821660797138,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,EXCLUDE US,,,02/07/2019,26/11/2018,INV581900241,126,Chhora Yo Baman Ka,NDJ,,,,,,,,,INV581900241,,Mohit Sharma,Chhora Baman Ka,NDJ Music,1.91766E+11,,
PhMR-6Ignco,ACTIVE,,AUDIO_MATCH,AUDIO,A450579524351227,G_ATh7VrjkE,,UC6GAppEwC3NvvLb1fJMGBBA,DAMAN QUEEN,52 gaj ka daman । 52 गज का दामन । haryanvi song । damna queen। 🔥,687,158,138,SONG_UGC,,imZElag4n7A,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG UM US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG UM US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,07/02/2021,07/02/2021,INV772001001,154,52 Gajh Ka Daman,VCOI,,,,,,,20201002,,INV772001001,,"Renuka Panwar, MJ",52 Gajh Ka Daman,Desi Records,6.30808E+11,,
lnPMhhzlmUg,ACTIVE,,AUDIO_MATCH,AUDIO,A854069051428682,7LTol82Wn4Q,,UCH_ysEiDha4dpfckd5pm8_g,TRT,New Muharram what's app status video.😭😭😭,54,28,29,UGC,,gXPlu_Vx24I,,S204850272788157,INCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY LB LI LT LU LV LY MA MC MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,28/08/2020,28/08/2020,INV581840667,30,Marhaba Marhaba,SAVPL,,,,,,,,,INV581840667,,Shamim Naeem Ajmeri,Jhula Jhulaon(Asgar Ka jhula),Shree Cassettes,1.91766E+11,,
Jkf4so1w82E,ACTIVE,,AUDIO_MATCH,AUDIO,A983369284635055,1y4xZ6KxWWY,,UCXzvWazyl35brxagKyDF-1g,tech hero AJ,Yaara Teri yaari,29,26,26,UGC,,yBPGDoZspHE,,S204850272788157,INCLUDE AE AR AS AT AU AW AZ BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY KZ LB LI LT LU LV LY MA MC ME MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,EXCLUDE AE AR AS AT AU AW AZ BA BE BG BH BL BM BO BR BY CA CC CH CL CO CR CX CY CZ DE DK DO DZ EC EE EG ES FI FJ FR GB GE GF GH GP GR GT GU HK HM HN HR HU ID IE IL IN IQ IS IT JO JP KE KR KW KY KZ LB LI LT LU LV LY MA MC ME MF MK MP MQ MT MX MY NF NG NI NL NO NR NU NZ OM PA PE PF PH PK PL PM PR PT PY QA RE RO RS RU SA SB SE SG SK SN SV TC TH TK TN TO TR TV TW TZ UA UG US UY VE VI VN VU WF WS YE YT ZA ZW,,,,,27/08/2020,27/08/2020,USDCH1041773,26,Tere Nainon Mein,BIL,,,,,,,,,USDCH1041773|TCABJ1240798|TCABM1381768,,The Bilz & Kashif,The Trinity,Bilz Music,6.30808E+11,,
